"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",283.927035358324,289.266078286705,290.771118097277,295.763807807208,297.96808111769,298.366095580252,293.140014336444,298.023998300303,301.806871605626,306.292413055353,307.764823631257,310.72751213992,312.651638211929,310.036461065122,309.026193489152,314.086646563116,318.559846376654,323.169979602231,327.256978104483,330.941526806305
"2",285.381229829277,290.799319524015,292.622669108187,297.760896918589,299.603982441218,299.355449789112,295.146719135959,299.532238242748,303.855015446329,308.224505523082,308.165148966243,310.829019066433,313.448844919645,311.290281112483,310.442428989054,315.240282464881,319.918013162768,325.07376933715,328.958774173103,332.592125952424
"3",285.443912812232,290.83033113837,292.639045173411,297.852255871069,299.695364984649,299.496109893764,294.951627246036,299.738375706002,304.328412439905,308.529477840494,307.263928085815,310.603198386384,311.529451163175,311.312729232326,310.259806910048,315.07562934322,319.722612132409,324.710935173832,328.931690713552,332.57348389841
"4",285.54088296787,290.835536198648,293.446866425494,298.097210984455,300.208751604549,299.654660516249,295.13560981035,299.30410984,304.188989519266,308.20589164446,308.728869746883,311.142207732725,312.947114033763,311.635281043519,310.982510915432,315.666280435157,320.249323979878,325.01530747293,329.145074802393,332.75075946816
"5",285.999096230084,291.202399964914,293.890600772916,299.22705614831,301.18537661537,301.015547233619,297.17462218382,301.694342708504,306.160876033337,310.261850758316,311.527541180014,315.633860190776,313.361459707452,314.325693676662,313.676560398634,318.679935682155,322.922681232513,327.119400525123,331.472596172087,335.263381338627
"6",286.058109154226,291.421456376595,293.994544055632,299.236030922572,301.785843619769,301.67065007362,298.199834349017,302.08007402673,306.205463752725,310.604793805787,312.019880896204,317.006383397012,315.427641118506,315.206598153137,314.313016563079,319.434971137177,324.019692499584,328.609548145515,332.100171274096,335.674307001556
"7",285.875022339354,291.315254520624,293.930871484477,299.000005242352,301.62259627471,302.38476351263,297.528868063133,301.725299605473,306.473209780297,310.595453958459,312.624371516344,316.838204248341,315.068552452297,315.240013564083,314.215754480348,319.034281507355,323.796701663598,328.132326536666,332.51166722704,335.992755601997
"8",285.88636718854,291.28297646084,293.913783899007,298.975058526878,301.656041641524,302.381359962584,298.852225145462,303.203436941801,307.945989317209,311.860955566587,315.068670029418,317.540469110218,315.68350682125,316.909104821694,316.046749537277,321.166083257035,323.997177081417,329.193786853665,333.522261373129,337.46554767085
"9",285.736392093404,291.280708627461,293.990593270209,299.650377721806,301.742943896553,302.578616217276,298.955339302426,302.918015467401,307.796082368367,311.754751336055,315.052848804916,317.38729174953,315.734058055135,316.48517896116,316.233360764245,321.110317831415,324.101390163577,329.255840476306,333.557999981202,337.75696300112
"10",285.674840050891,291.162963645315,294.173797800286,299.12935547546,301.65885095261,302.592511410326,298.858529684635,302.768836883428,308.102145092592,312.105856706164,315.833706362296,319.832073525078,316.08057345705,317.102452775604,316.633117977219,322.020118385902,324.612994726356,329.626742915819,334.247344645945,338.382593069702
"11",285.926382834259,291.362758262724,294.424778842373,299.380744497803,301.949167483745,303.038555840646,299.1141597506,303.000946085738,308.32973940651,312.269876002387,316.054994947571,318.60091949744,315.643253379071,317.422795327588,315.89971116541,321.371730658646,324.250576296822,329.241055850625,333.765427025319,338.052875817765
"12",285.845800058395,291.185157727368,294.253333611637,299.296133172759,301.816876174806,302.927595742575,299.038271025217,302.913342286384,308.210635087016,312.229412832936,316.402543557119,319.172630633427,317.595046788607,319.230992513504,318.604959220199,323.538086594253,326.487600171349,331.579969892268,335.74174952122,340.17732187532
"13",285.681726461196,291.033654766101,294.154327003791,299.109032172571,301.958561805013,302.911506867094,298.623188821498,302.523427137436,307.955214538489,312.042410299855,315.849027424032,318.866468797172,317.686150258727,318.780739327038,318.306820460416,323.257638905219,326.297922411991,331.073909953197,335.49201465464,339.916907585457
"14",285.688271507263,291.046080950335,294.181331335509,299.083473619299,301.765287356085,302.811390370506,298.856431788869,302.650148728172,307.95642160162,311.990402977071,316.142544776138,318.77662829519,317.505762296856,318.443272077252,318.44672502168,323.765457478195,326.872331286837,331.538413703769,335.855331405507,339.927753082354
"15",285.49987344244,290.869461603158,294.032124057943,299.012531733038,301.84037597169,302.767031162488,298.405165185433,302.286918883495,307.683697281832,311.751988992578,315.591212581243,318.255157182516,317.17192415125,319.248363086149,318.381586003256,323.261397758728,326.553927680623,331.14827031756,335.447846481928,339.58224002507
"16",285.264474552243,290.645022487919,293.793342105899,298.777638920055,301.407006888213,302.892415025238,298.29748862877,301.990814411006,307.405932289709,311.442243893084,315.708700197512,317.871054380497,316.868905799205,319.085363046605,318.612204720669,323.881544878943,326.290052566487,331.042217515337,335.621561762716,339.816148578157
"17",285.153955153794,290.540489133148,293.761988208068,298.746595386703,301.587574002783,303.191328980529,298.041957696744,301.867207931984,307.27647792058,311.359270383901,315.612027725289,317.787776060186,316.767418543385,319.02346579299,318.569491127771,323.503235867479,326.460272390281,331.085404861477,335.758750453691,339.578127072366
"18",284.908034746329,290.284069155398,293.543960434655,298.505489692604,301.340953610482,303.229027463206,297.825850508285,301.525662501288,307.070471801304,311.234154253244,315.582338372472,317.596567236413,316.477750669122,318.698586245183,318.377711783266,323.135511258702,326.689019632547,331.286504221273,335.401770356574,339.379938508298
"19",284.831578505795,290.219058874701,293.536906264868,298.414696255172,301.351537607201,303.313325946569,297.777616165216,301.461516148286,307.004149676252,311.208649462062,315.687995977457,317.958568001274,316.526066651912,318.611287465765,318.044140807411,322.832929545246,326.376401571572,331.289077179736,335.269771425353,338.992982336143
"20",284.60279323978,289.97920168172,293.309396204051,298.139350974501,301.116297052864,303.199566549359,297.445273911754,301.033237918347,306.718089341166,311.167106936714,315.373292006072,318.022998467511,316.002992446612,317.67794539627,317.422642219236,322.385116391254,325.961448728054,331.009409429772,334.978798960789,338.811253965967
"21",284.424882304009,289.820847741086,293.092064237007,297.977021245448,300.892717453565,302.815158663552,297.238463285573,300.977080916793,306.534602820624,310.755869163414,315.213082382737,317.506227425938,315.785763101927,317.579629347854,317.638112751934,322.400694189951,325.991201931531,330.956768830947,334.950357895088,338.977847901034
"22",284.297118551857,289.687217191362,292.981283438587,297.859740461367,300.747128052168,302.802924973603,296.95520417267,300.598376470184,306.309011770269,310.7565892423,315.002292431137,317.620791675125,315.58540755393,317.283499014099,317.242892020504,322.029458813419,325.576088856675,330.635678382629,334.59346526802,338.640473659231
"23",284.031006362745,289.432562825971,292.727805864502,297.433936964074,300.573835151986,302.5974699313,296.551857052407,300.211165959094,305.928083778672,310.322202695585,314.502319862507,317.232813634978,315.282643006273,316.827991378274,316.930026421716,321.693017610907,325.251112683966,330.169915391085,334.175040019755,338.19863601635
"24",283.727780651211,289.133169512151,292.519884495224,297.185887755094,300.321471963211,302.655486529668,296.232123718176,299.85768019345,305.615942607263,310.071910166611,314.354463057301,317.050705059691,315.014926284995,316.535151912258,316.527862018867,321.323418290644,324.888901584932,329.960274020542,333.947951172189,337.998223675061
"25",283.409413985474,288.810657557563,292.23737506887,296.889698822551,299.997591179712,302.385566492299,295.783608640567,299.447937532341,305.205219655932,309.681549578195,313.846253056734,316.528347166742,314.576373000925,316.058847475722,316.072374476576,321.056565531715,324.601979008878,329.486338135928,333.520775655301,337.582267098635
"26",283.062854734888,288.466503963242,291.91744014657,296.466572387078,299.666735225585,302.083758511319,295.411285390694,299.067745412916,304.835316040153,309.346348378482,313.507321055154,316.287788994727,314.193326280114,315.667093342987,315.617640142518,320.63469389872,324.165598402674,329.15632562067,333.162973979512,337.277061297242
"27",282.753476778724,288.154857883318,291.715093054536,296.172158513304,299.380789798792,301.828670964044,294.993491731178,298.696277287311,304.473885665551,309.008476669425,313.244746759428,315.900974125017,313.719915179378,315.171162833234,315.197924413576,320.205733411881,323.754951953113,328.645822610052,332.696714831121,336.764837700644
"28",282.459048721012,287.876382485742,291.320484884752,295.871749757589,299.061429121657,301.413551151864,294.73050061329,298.381566491648,304.154923145585,308.662566493812,312.912216379791,315.555583250972,313.246173106674,314.870332220155,314.944232617896,319.928373070492,323.439677779078,328.299189888339,332.332006076685,336.395433098539
"29",282.400843466658,287.841057820971,291.217130397986,295.881239381081,298.984593202599,301.291634415007,294.589249155334,298.225875208905,303.994929745533,308.479415370218,312.607957269441,315.275050796558,313.084197194136,314.70262562754,315.188826247134,319.898090558864,323.381283168619,328.174750269768,332.22311493641,336.299422102572
"30",282.615754834203,288.063986379672,291.371193148553,296.075715895945,299.201953121427,301.467403611915,294.792272666137,298.395107131667,304.151498062171,308.634953329428,312.726102870136,315.447932626679,313.223321788859,314.888110891159,315.436181077928,320.14669759502,323.410575993537,328.336156481317,332.38124035964,336.443649112785
"31",282.698677066354,288.147637976024,291.531341149704,296.20312806337,299.279566901449,301.572001328549,294.775790731346,298.427799668052,304.231074180402,308.730302351636,312.841605972183,315.545495667313,313.258704848201,314.876973499629,315.372951794719,320.08962252536,323.592554952894,328.406894541768,332.43830926805,336.502802337864
"32",282.510308905073,287.988849381761,291.330807981835,296.016964836307,299.126003688708,301.346820555215,294.551363911255,298.141542786734,304.021087261938,308.476482137127,312.588103482284,315.239212174028,312.944861831554,314.5769955951,315.221076249669,319.939532336679,323.169554391734,328.045370732168,332.106624715627,336.186744530252
"33",282.641816335808,288.119666889717,291.220076398743,296.159243481467,299.061369370688,300.96815571924,294.397988759591,298.041001500981,303.878498840976,308.275337621813,312.327371295063,315.130082406397,312.705328564566,314.37667058718,314.668038213172,319.865997770792,322.89581511449,327.774320125441,331.923092672007,335.916798009043
"34",282.716273527053,288.187320089201,291.258184790104,296.334358145369,299.06191187144,300.95760950146,294.430494747705,298.143616153043,303.836324380932,308.242959371041,312.325736934955,315.113551523683,312.816648536793,314.463484072923,314.924147326023,320.137453477196,322.565303667235,327.883987262975,332.005507832398,336.031276116852
"35",283.414104730125,288.909160942276,291.924036982635,296.951944167725,299.768431018746,301.295694252722,295.112105841252,298.808255589065,304.512608946736,308.721812783858,313.550165298964,315.493206883184,313.488606699141,315.809916206943,315.544903300071,320.29003789997,323.36465654544,328.508616172415,332.621219583004,336.607541015486
